stk1,stk2,doc_count
Accipitriformes,Aves,225
Apiales,Magnoliopsida,7
Asparagales,Liliopsida,164
Asterales,Magnoliopsida,104
Brassicales,Magnoliopsida,11
Capparales,Magnoliopsida,11
Carnivora,Mammalia,50
Caryophyllales,Magnoliopsida,1
Cetacea,Mammalia,2
Charadriiformes,Aves,7179
Chiroptera,Mammalia,206
Columbiformes,Aves,417
Dasyuromorphia,Mammalia,486
Diprotodontia,Mammalia,1027
Ericales,Magnoliopsida,3
Euphorbiales,Magnoliopsida,1
Fabales,Magnoliopsida,232
Galliformes,Aves,169
Gruiformes,Aves,1
Lamiales,Magnoliopsida,80
Liliales,Liliopsida,6
Liliopsida,Asparagales,1
Malvales,Magnoliopsida,1
Myrtales,Magnoliopsida,33
Passeriformes,Aves,6937
Pelecaniformes,Aves,457
Peramelemorphia,Mammalia,189
Pinales,Pinopsida,1
Poales,Liliopsida,8
Procellariformes,Aves,70
Proteales,Magnoliopsida,113
Psittaciformes,Aves,2498
Rodentia,Mammalia,238
Rosales,Magnoliopsida,26
Santalales,Magnoliopsida,6
Sapindales,Magnoliopsida,36
Sirenia,Mammalia,3
Strigiformes,Aves,1861
